Frequency Samples,Real,Imag
-6509.2,-4.49492,0.0478369
-6509.1,-7.99945,0.0853254
-6509,8.5807,-0.0917335
-6508.9,2.02939,-0.0217433
-6508.8,4.4913,-0.048229
-6508.7,2.00681,-0.0215974
-6508.6,3.9997,-0.0430908
-6508.5,1.99279,-0.0215428
-6508.4,4.45221,-0.0482359
-6508.3,1.97001,-0.0213907
-6508.2,8.36199,-0.0909965
-6508.1,-7.99943,0.0872424
-6508,-4.44806,0.0486175
-6507.9,2.03005,-0.0222371
-6507.8,-0.460157,0.00504899
-6507.7,2.00696,-0.0220799
-6507.6,-7.7486e-05,8.34465e-07
-6507.5,1.99263,-0.0220182
-6507.4,-0.484281,0.00536442
-6507.3,1.96935,-0.0218555
-6507.2,-4.49593,0.0500028
-6507.1,-7.9994,0.0891597
-6507,8.58557,-0.0958991
-6506.9,2.0307,-0.0227312
-6506.8,4.49215,-0.0503914
-6506.7,2.00711,-0.0225635
-6506.6,3.99968,-0.0450439
-6506.5,1.99247,-0.0224943
-6506.4,4.45131,-0.0503602
-6506.3,1.96869,-0.0223198
-6506.2,8.35714,-0.0949476
-6506.1,-7.99938,0.0910768
-6506,-4.44699,0.050738
-6505.9,2.03136,-0.0232253
-6505.8,-0.459638,0.00526667
-6505.7,2.00726,-0.0230463
-6505.6,-8.46386e-05,9.53674e-07
-6505.5,1.9923,-0.0229697
-6505.4,-0.484807,0.00559521
-6505.3,1.96802,-0.0227844
-6505.2,-4.49694,0.0521703
-6505.1,-7.99935,0.0929941
-6505,8.59045,-0.100072
-6504.9,2.03201,-0.0237201
-6504.8,4.49299,-0.0525551
-6504.7,2.0074,-0.0235286
-6504.6,3.99965,-0.046936
-6504.5,1.99214,-0.0234458
-6504.4,4.45042,-0.052484
-6504.3,1.96736,-0.0232481
-6504.2,8.3523,-0.0988998
-6504.1,-7.99932,0.0949115
-6504,-4.44592,0.0528574
-6503.9,2.03267,-0.0242149
-6503.8,-0.459118,0.00548029
-6503.7,2.00755,-0.0240116
-6503.6,-9.2268e-05,1.07288e-06
-6503.5,1.99197,-0.023921
-6503.4,-0.48535,0.00584912
-6503.3,1.96669,-0.0237123
-6503.2,-4.49795,0.0543385
-6503.1,-7.9993,0.0968287
-6503,8.59533,-0.104252
-6502.9,2.03332,-0.0247102
-6502.8,4.49383,-0.0547192
-6502.7,2.0077,-0.0244949
-6502.6,3.99962,-0.0489502
-6502.5,1.99181,-0.0243969
-6502.4,4.44952,-0.0546067
-6502.3,1.96603,-0.0241755
-6502.2,8.34746,-0.102843
-6502.1,-7.99927,0.0987463
-6502,-4.44485,0.0549753
-6501.9,2.03398,-0.025206
-6501.8,-0.458595,0.00569201
-6501.7,2.00784,-0.0249777
