Frequency Samples,Real,Imag
-30.9,3.503,2.51564
-30.8,0.198791,0.143686
-30.7,4.80672,3.4968
-30.6,2.33437,1.70919
-30.5,0.161029,0.118663
-30.4,3.11655,2.31139
-30.3,1.92157,1.43429
-30.2,-0.156229,-0.117362
-30.1,2.31057,1.74683
-30,1.66995,1.27058
-29.9,-0.756833,-0.57951
-29.8,1.71318,1.32014
-29.7,1.49908,1.16251
-29.6,-2.05971,-1.60741
-29.5,0.96746,0.7598
-29.4,1.47008,1.16184
-29.3,-7.35884,-5.85267
-29.2,-2.87035,-2.29727
-29.1,-6.74472,-5.43213
-29,14.8751,12.0557
-28.9,3.47106,2.83085
-28.8,0.303073,0.248725
-28.7,4.72056,3.89836
-28.6,2.20924,1.83587
-28.5,0.168001,0.140482
-28.4,2.99431,2.51949
-28.3,1.76927,1.49801
-28.2,-0.177722,-0.151412
-28.1,2.178,1.86713
-28,1.49291,1.28779
-27.9,-0.778929,-0.676088
-27.8,1.57589,1.37632
-27.7,1.28212,1.12671
-27.6,-2.03945,-1.80336
-27.5,0.83421,0.742214
-27.4,1.13673,1.01764
-27.3,-6.95926,-6.26872
-27.2,-2.67925,-2.42833
-27.1,-6.32639,-5.76936
-27,15.4943,14.2173
-26.9,3.41344,3.15147
-26.8,0.394404,0.366383
-26.7,4.60063,4.30013
-26.6,2.0724,1.94899
-26.5,0.169795,0.160668
-26.4,2.85434,2.71756
-26.3,1.61291,1.54508
-26.2,-0.197764,-0.190611
-26.1,2.03659,1.97504
-26,1.31849,1.28652
-25.9,-0.792378,-0.777924
-25.8,1.4373,1.41977
-25.7,1.07698,1.07039
-25.6,-2,-2
-25.5,0.70993,0.7143
-25.4,0.840421,0.850797
-25.3,-6.5321,-6.65346
-25.2,-2.47963,-2.54124
-25.1,-5.88903,-6.07254
-25,16.086,16.6894
-24.9,3.32921,3.47536
-24.8,0.47154,0.495275
-24.7,4.44661,4.69921
-24.6,1.92518,2.04712
-24.5,0.166775,0.178429
-24.4,2.69764,2.90396
-24.3,1.4542,1.57508
-24.2,-0.215599,-0.234962
-24.1,1.88761,2.06986
-24,1.14851,1.26719
-23.9,-0.796467,-0.884202
-23.8,1.29865,1.45063
-23.7,0.885369,0.995108
-23.6,-1.94129,-2.19543
-23.5,0.595241,0.677344
-23.4,0.581149,0.665416
-23.3,-6.08003,-7.00488
-23.2,-2.27327,-2.63535
-23.1,-5.43555,-6.34054
-23,16.6468,19.5394
-22.9,3.21765,3.80031
-22.8,0.533379,0.633899
-22.7,4.25845,5.09263
-22.6,1.76914,2.12894
-22.5,0.159404,0.193024
-22.4,2.52535,3.07715
-22.3,1.29491,1.58776
-22.2,-0.23047,-0.284372
-22.1,1.73243,2.15104
-22,0.984759,1.23042
-21.9,-0.790568,-0.99402
-21.8,1.16116,1.46921
-21.7,0.708831,0.90256
-21.6,-1.86344,-2.38777
-21.5,0.490615,0.632658
-21.4,0.35866,0.465441
-21.3,-5.60585,-7.32117
-21.2,-2.06202,-2.71016
-21.1,-4.96891,-6.57249
-21,17.1733,22.861
-20.9,3.07822,4.12399
-20.8,0.578973,0.780654
-20.7,4.03635,5.47743
-20.6,1.60591,2.19332
-20.5,0.148239,0.203771
-20.4,2.33878,3.23573
-20.3,1.13684,1.58303
-20.2,-0.241619,-0.338649
-20.1,1.5724,2.21815
-20,0.828922,1.17698
-19.9,-0.774147,-1.1064
-19.8,1.02597,1.47592
-19.7,0.548722,0.794559
-19.6,-1.76675,-2.57515
-19.5,0.396379,0.581565
-19.4,0.172444,0.254684
-19.3,-5.11249,-7.6008
-19.2,-1.84776,-2.76537
-19.1,-4.49212,-6.7678
-19,17.6626,26.7883
-18.9,2.91059,4.44401
-18.8,0.607535,0.933848
-18.7,3.78076,5.85063
-18.6,1.4373,2.23923
-18.5,0.133924,0.21006
-18.4,2.13935,3.3784
-18.3,0.981801,1.56101
-18.2,-0.248335,-0.397537
-18.1,1.40894,2.27093
-18,0.682618,1.10782
-17.9,-0.746772,-1.2203
-17.8,0.894159,1.47126
-17.7,0.406204,0.673019
-17.6,-1.65172,-2.75574
-17.5,0.312715,0.525383
-17.4,0.021735,0.0367683
-17.3,-4.60302,-7.84247
-17.2,-1.63239,-2.80085
-17.1,-4.00823,-6.92609
-17,18.1117,31.5191
-16.9,2.71464,4.75792
-16.8,0.618453,1.09172
-16.7,3.49242,6.20932
-16.6,1.26526,2.26581
-16.5,0.117181,0.211366
-16.4,1.92859,3.50402
-16.3,0.831609,1.52197
-16.2,-0.249861,-0.460624
-16.1,1.24344,2.30925
-16,0.547357,1.02403
-15.9,-0.708116,-1.33463
-15.8,0.766736,1.45588
-15.7,0.282242,0.539933
-15.6,-1.51902,-2.92775
-15.5,0.239661,0.465409
-15.4,-0.0944707,-0.18485
-15.3,-4.08059,-8.04518
-15.2,-1.4178,-2.81668
