Frequency Samples,Real,Imag
-18.2,2.96382e-06,-0.00142451
-18.1,1.7758e-06,0.00179367
-18,-2.28995e-06,-2.73702e-05
-17.9,9.496e-07,-0.00205388
-17.8,-2.5169e-06,0.0012696
-17.7,-1.05996e-06,-0.000184295
-17.6,3.03262e-07,-0.00330534
-17.5,7.15838e-07,0.000925724
-17.4,-5.44707e-07,-0.000345552
-17.3,-1.81724e-07,-0.00744076
-17.2,3.73111e-07,0.000671316
-17.1,-2.16474e-07,-0.00052919
-17,-5.7288e-07,0.0374014
-16.9,-1.50932e-07,0.000467139
-16.8,-1.32655e-07,-0.000747994
-16.7,-7.57456e-07,0.00528515
-16.6,1.13109e-06,0.000288646
-16.5,1.05263e-06,-0.00102796
-16.4,-1.46631e-06,0.00276465
-16.3,1.91154e-07,0.000129632
-16.2,-1.98779e-07,-0.00141732
-16.1,1.33179e-07,0.00180596
-16,-2.01981e-08,-2.50719e-05
-15.9,-2.32249e-08,-0.00203843
-15.8,-5.68648e-06,0.00127818
-15.7,4.23053e-07,-0.00017938
-15.6,-1.18063e-06,-0.00326678
-15.5,1.67033e-06,0.000931041
-15.4,-9.50997e-07,-0.000344525
-15.3,-9.18197e-06,-0.00726091
-15.2,-1.14308e-06,0.000673543
-15.1,7.99773e-07,-0.000526303
-15,-7.10948e-07,0.0423944
-14.9,-4.865e-07,0.000469617
-14.8,-4.7253e-07,-0.000743097
-14.7,-1.0244e-06,0.00537757
-14.6,2.4098e-07,0.000293566
-14.5,-1.17155e-06,-0.00102203
-14.4,1.01747e-07,0.0027943
-14.3,-2.14321e-07,0.000132607
-14.2,-1.47591e-06,-0.0014072
-14.1,-1.42393e-06,0.00181948
-14,1.89058e-06,-2.32684e-05
-13.9,2.34065e-06,-0.00202318
-13.8,3.4715e-07,0.00128651
-13.7,-8.77306e-07,-0.000175837
-13.6,5.64614e-07,-0.00323356
-13.5,-1.623e-06,0.000934447
-13.4,-1.23226e-06,-0.000339696
-13.3,2.20607e-07,-0.00709989
-13.2,-2.66125e-07,0.000678563
-13.1,-1.20676e-06,-0.000522677
-13,-7.15954e-09,0.0489171
-12.9,2.01981e-06,0.000472972
-12.8,1.77417e-07,-0.000740589
-12.7,-4.53671e-07,0.00547376
-12.6,2.27685e-06,0.000297592
-12.5,4.39235e-07,-0.001014
-12.4,-3.65777e-07,0.00282183
-12.3,-1.70449e-06,0.000137096
-12.2,-2.07801e-07,-0.00139845
-12.1,5.38793e-06,0.00182198
-12,2.66591e-08,-1.62865e-05
-11.9,-2.52912e-07,-0.00200369
-11.8,-4.50993e-07,0.00129393
-11.7,-2.2591e-06,-0.000171531
-11.6,7.07572e-07,-0.00319665
-11.5,-6.22764e-07,0.000942551
-11.4,1.83587e-06,-0.000337232
-11.3,1.83517e-06,-0.0069437
-11.2,2.96161e-07,0.000684815
-11.1,-4.14497e-07,-0.000518742
-11,-7.53731e-07,0.0578122
-10.9,-2.72045e-06,0.000478045
-10.8,-1.02358e-06,-0.000736125
-10.7,6.47968e-07,0.00557004
-10.6,-9.02917e-07,0.000299608
-10.5,4.77536e-07,-0.00100713
-10.4,1.96509e-07,0.00285023
-10.3,1.63913e-07,0.000139774
-10.2,-7.60832e-07,-0.00138945
-10.1,6.96164e-07,0.00184522
-10,-9.97388e-07,-1.58986e-05
-9.9,1.48895e-07,-0.00199015
-9.8,-8.42498e-07,0.00130515
-9.7,-9.29751e-07,-0.00016904
-9.6,3.68105e-07,-0.00316457
-9.5,-1.28231e-07,0.000948456
-9.4,-2.3914e-06,-0.000332617
-9.3,-7.90169e-07,-0.00679286
-9.2,-5.14905e-07,0.00068773
-9.1,-6.96047e-07,-0.000514833
-9,-2.84653e-06,0.0706615
-8.9,1.18418e-06,0.00047961
-8.8,-9.73756e-07,-0.000731404
-8.7,-7.91624e-08,0.00567501
-8.6,5.06174e-07,0.000302552
-8.5,-2.04641e-06,-0.00100107
-8.4,1.50572e-06,0.00287871
-8.3,1.22143e-06,0.000143524
-8.2,9.12463e-07,-0.001381
-8.1,-8.67993e-07,0.00185889
-8,4.74392e-07,-1.25471e-05
-7.9,2.04658e-07,-0.00197562
-7.8,7.42381e-07,0.001311
-7.7,-3.71074e-07,-0.000167535
-7.6,4.11482e-06,-0.00312619
-7.5,-1.01223e-07,0.000954316
-7.4,1.97906e-08,-0.000329078
-7.3,2.78e-07,-0.00664863
-7.2,-1.56398e-06,0.000693655
-7.1,-6.63567e-07,-0.000509871
-7,-9.07748e-07,0.0908524
-6.9,1.75391e-06,0.000490334
-6.8,-3.47791e-07,-0.000721974
-6.7,-1.25542e-06,0.00578173
-6.6,-5.38421e-07,0.000306214
-6.5,-3.94543e-06,-0.000996051
-6.4,-7.0387e-06,0.00291141
-6.3,-4.74334e-07,0.000143727
-6.2,-3.57395e-08,-0.0013709
-6.1,4.26779e-07,0.00187307
-6,-1.28202e-06,-1.07143e-05
-5.9,8.18865e-07,-0.00196105
-5.8,1.39792e-06,0.00131783
-5.7,-1.30897e-06,-0.00016308
-5.6,-3.85277e-07,-0.0030962
-5.5,2.71481e-07,0.000960358
-5.4,3.68571e-07,-0.000325738
-5.3,-9.96573e-07,-0.00650739
-5.2,1.70839e-06,0.000698077
-5.1,1.24611e-06,-0.000506031
-5,-7.37666e-07,0.127195
-4.9,-2.2474e-07,0.000488311
-4.8,-5.70959e-07,-0.000720834
-4.7,1.94646e-07,0.00589019
-4.6,3.76138e-06,0.000306748
-4.5,-9.7591e-07,-0.000990951
-4.4,1.32411e-06,0.00293725
-4.3,1.47591e-06,0.000148181
-4.2,5.28526e-08,-0.00136218
-4.1,5.48316e-07,0.00188672
-4,-7.34755e-07,-6.08746e-06
-3.9,-8.97853e-07,-0.00194516
-3.8,3.34415e-06,0.00132708
-3.7,-4.89934e-07,-0.000159606
-3.6,9.42964e-07,-0.00306333
-3.5,1.14727e-06,0.000966377
-3.4,-6.93661e-07,-0.000323843
-3.3,3.00119e-07,-0.00637403
-3.2,-2.85218e-09,0.000701176
-3.1,-1.31922e-06,-0.000500548
-3,3.241e-06,0.211997
-2.9,-2.33529e-07,0.000492839
-2.8,5.97211e-07,-0.000716018
-2.7,4.19677e-07,0.00600474
-2.6,1.80444e-08,0.0003141
-2.5,5.41611e-06,-0.0009803
-2.4,-9.98727e-07,0.00296762
-2.3,-1.0166e-06,0.000151237
-2.2,1.58732e-06,-0.001354
-2.1,3.14321e-08,0.00190133
-2,-1.35275e-07,-2.85601e-06
-1.9,-2.00514e-06,-0.00192772
-1.8,-4.43775e-07,0.00133678
-1.7,-5.64731e-07,-0.000155639
-1.6,-8.30041e-07,-0.00303125
-1.5,7.03265e-07,0.000973158
